scenario,experiment_id,sprint_id,completed_tasks,incomplete_tasks,blocked_events,blocked_days,rework_events,flow_efficiency,capacity_utilization,avg_cycle_time_completed_only,avg_lead_time_completed_only
4Q Agile Framework,24.5,11.5,16.851822916666666,24.398177083333334,2.6930729166666665,3.6975,1.7657291666666666,0.9087910568650729,0.8409470758961248,1.919299773932009,3.139936832779462
JLR-4D adaptado,24.5,11.5,15.841979166666667,25.40802083333333,3.0511458333333334,4.804166666666666,1.8378645833333334,0.8864468039519411,0.7946783202455756,1.9332452845317614,3.149854433301446
JLR-4D sin adaptación,24.5,11.5,12.407708333333334,28.842291666666668,4.58859375,11.009114583333334,2.091875,0.826192343309076,0.7950287543402778,2.040121984480191,3.0232885107550334
Scrum 5 días,24.5,11.5,19.388333333333332,21.861666666666668,2.8072395833333332,4.020833333333333,1.9711458333333334,0.9166102247948267,0.908585763888889,1.9570838297017985,3.1541934598265904
