scenario,team_profile,workload_profile,completed_tasks_mean,completed_tasks_std,blocked_events_mean,blocked_days_mean,rework_events_mean,flow_efficiency_mean,capacity_utilization_mean
4Q Agile Framework,Equipo distribuido,Alta dependencia,14.625,1.9759289577407302,5.111666666666666,7.1866666666666665,2.7775,0.832239957274173,0.8651729751729751
4Q Agile Framework,Equipo distribuido,Carga alta,16.964166666666667,2.1287693678289177,3.3958333333333335,4.898333333333333,1.9658333333333333,0.8768583539458916,0.8658346052096052
4Q Agile Framework,Equipo distribuido,Carga baja,14.209166666666667,1.7920450589945482,1.6525,2.285833333333333,0.9558333333333333,0.9360826495596613,0.8612080280830281
4Q Agile Framework,Equipo distribuido,Carga media,15.556666666666667,1.9659627998339222,2.3575,3.345833333333333,1.295,0.9102114138660372,0.8659157509157509
4Q Agile Framework,Equipo junior,Alta dependencia,12.235833333333334,1.7915237285470649,3.720833333333333,5.3575,2.4125,0.8369630943222985,0.7366369047619047
4Q Agile Framework,Equipo junior,Carga alta,14.308333333333334,1.8711444466348308,2.485,3.5325,1.7191666666666667,0.8875933644504823,0.7336630036630037
4Q Agile Framework,Equipo junior,Carga baja,11.975,1.5098370795129608,1.1566666666666667,1.6608333333333334,0.8258333333333333,0.9405721403728834,0.7356478937728937
4Q Agile Framework,Equipo junior,Carga media,13.0625,1.6860098678226443,1.6325,2.3958333333333335,1.1383333333333334,0.9183786297795664,0.7384294871794872
4Q Agile Framework,Equipo mixto,Alta dependencia,16.859166666666667,2.0807708455398437,4.3675,5.805,2.86,0.8683059436688256,0.8388492063492063
4Q Agile Framework,Equipo mixto,Carga alta,19.245833333333334,2.1770045390071986,2.8183333333333334,3.8208333333333333,1.9716666666666667,0.9092409019107741,0.8417350936100937
4Q Agile Framework,Equipo mixto,Carga baja,16.031666666666666,1.83761019576565,1.3758333333333332,1.8525,1.0391666666666666,0.9542835015360814,0.8367846967846968
4Q Agile Framework,Equipo mixto,Carga media,17.795,1.9961535154845058,1.8916666666666666,2.5708333333333333,1.4041666666666666,0.9357359760849138,0.8398809523809524
