scenario,experiment_id,sprint_id,completed_tasks,incomplete_tasks,blocked_events,blocked_days,rework_events,flow_efficiency,capacity_utilization,avg_cycle_time_completed_only,avg_lead_time_completed_only
4Q Agile Framework,24.5,11.5,16.86135416666667,24.38864583333333,2.6708333333333334,3.6726041666666664,1.7515104166666666,0.909603529260593,0.8410681982947608,1.9151444549156353,3.1374495367070665
JLR-4D adaptado,24.5,11.5,15.813177083333333,25.436822916666667,2.9930208333333335,4.7415625,1.8496354166666666,0.8886265843972972,0.7946891429449174,1.929986722726885,3.1504190099721012
JLR-4D sin adaptación,24.5,11.5,12.3753125,28.8746875,4.594427083333334,10.974583333333333,2.106145833333333,0.827112726548619,0.7948031684027778,2.040601814663393,3.0229652407763594
Scrum 5 días,24.5,11.5,19.398802083333333,21.851197916666667,2.7922395833333336,3.9848958333333333,1.9680208333333333,0.9170214779466571,0.9100805555555554,1.956059065237423,3.1487154947277753
