scenario,experiment_id,sprint_id,completed_tasks,incomplete_tasks,blocked_events,blocked_days,rework_events,flow_efficiency,capacity_utilization,throughput_per_devday,avg_cycle_time_completed_only,avg_lead_time_completed_only
4Q Agile Framework,24.5,11.5,16.119270833333335,25.130729166666665,2.47609375,3.0836979166666665,1.6439583333333334,0.9159126715278061,0.8434391938128575,0.33581814236111107,1.840693949038701,3.2078017784946256
JLR-4D adaptado,24.5,11.5,15.826145833333333,25.42385416666667,3.02703125,4.7882291666666665,1.83234375,0.8867491479834014,0.7950512862112726,0.293076774691358,1.931652624291225,3.1508739026574064
JLR-4D sin adaptación,24.5,11.5,11.971666666666666,29.278333333333332,4.373020833333333,10.46546875,1.9978125,0.8277361011917244,0.7918792317708333,0.24940972222222224,2.0197239618946554,3.0281433061858145
Scrum 5 días,24.5,11.5,19.389114583333335,21.860885416666665,2.80703125,4.029427083333333,1.9608333333333334,0.9160695844004998,0.9093492187500001,0.3231519097222222,1.9586039775357589,3.1547401069732532
