scenario,team_profile,workload_profile,completed_tasks_mean,completed_tasks_std,blocked_events_mean,blocked_days_mean,rework_events_mean,flow_efficiency_mean,capacity_utilization_mean
4Q Agile Framework,Equipo distribuido,Alta dependencia,13.759166666666667,2.0880132035431926,4.601666666666667,5.928333333333334,2.5766666666666667,0.8410985614883482,0.7940184294871795
4Q Agile Framework,Equipo distribuido,Carga alta,15.996666666666666,2.082130706541136,3.0841666666666665,3.9283333333333332,1.7158333333333333,0.8843963896959127,0.798339525058275
4Q Agile Framework,Equipo distribuido,Carga baja,13.419166666666667,1.7424109644004606,1.3925,1.7983333333333333,0.8658333333333333,0.943143116981276,0.7941726762820512
4Q Agile Framework,Equipo distribuido,Carga media,14.685833333333333,1.903983613433269,2.0858333333333334,2.6533333333333333,1.1766666666666667,0.9170839774853465,0.7960054268648019
4Q Agile Framework,Equipo junior,Alta dependencia,11.901666666666667,1.8743687659532764,3.533333333333333,4.6375,2.3075,0.8546214534002725,0.771427738927739
4Q Agile Framework,Equipo junior,Carga alta,13.911666666666667,2.119970703895859,2.265,2.97,1.6633333333333333,0.8965069386987985,0.7715238927738928
4Q Agile Framework,Equipo junior,Carga baja,11.636666666666667,1.6808757662818552,1.055,1.3516666666666666,0.84,0.9472171919078892,0.7675553613053613
4Q Agile Framework,Equipo junior,Carga media,12.7525,1.8759468001511923,1.5466666666666666,2.035833333333333,1.1033333333333333,0.9259437170116933,0.7743531468531468
4Q Agile Framework,Equipo mixto,Alta dependencia,16.430833333333332,2.1623549943268157,4.1075,5.005,2.745,0.8808996491577435,0.9006155111336032
4Q Agile Framework,Equipo mixto,Carga alta,18.8525,2.398027494258426,2.7283333333333335,3.32,1.8708333333333333,0.9142354084008122,0.9028102859311741
4Q Agile Framework,Equipo mixto,Carga baja,15.661666666666667,1.8234494862520838,1.3008333333333333,1.5658333333333334,0.9941666666666666,0.9561195296934236,0.9040292506287572
4Q Agile Framework,Equipo mixto,Carga media,17.383333333333333,2.1498621222866636,1.9066666666666667,2.285,1.325,0.9382257856318902,0.9039071893019262
4Q Agile Framework,Equipo senior,Alta dependencia,19.903333333333332,2.1454194405839586,4.0975,4.819166666666667,2.8175,0.9043683629935292,0.9062573099415205
4Q Agile Framework,Equipo senior,Carga alta,22.904166666666665,2.280200737155318,2.7608333333333333,3.2675,1.9516666666666667,0.9319924064039715,0.9059183766708436
4Q Agile Framework,Equipo senior,Carga baja,18.246666666666666,1.8606559567475225,1.2766666666666666,1.5333333333333334,0.9841666666666666,0.9677788998023606,0.9026995875104427
4Q Agile Framework,Equipo senior,Carga media,20.4625,2.070144519579077,1.875,2.24,1.3658333333333332,0.9509713556916298,0.9013933923350042
JLR-4D adaptado,Equipo distribuido,Alta dependencia,14.014166666666666,2.0966550998503934,6.281666666666666,10.183333333333334,2.9916666666666667,0.7891709326080251,0.8690926434676434
JLR-4D adaptado,Equipo distribuido,Carga alta,16.4575,2.2640226549555087,4.056666666666667,6.648333333333333,2.1266666666666665,0.8451146993645079,0.8679143772893774
JLR-4D adaptado,Equipo distribuido,Carga baja,13.803333333333333,1.885723251798684,1.7841666666666667,2.9283333333333332,1.0933333333333333,0.9227552283554447,0.8630553011803013
JLR-4D adaptado,Equipo distribuido,Carga media,15.12,2.0450962525600604,2.6708333333333334,4.388333333333334,1.4433333333333334,0.8872106856188814,0.868391330891331
JLR-4D adaptado,Equipo junior,Alta dependencia,11.414166666666667,1.5962735918503828,4.241666666666666,6.92,2.5241666666666664,0.808038206391247,0.6962591575091575
JLR-4D adaptado,Equipo junior,Carga alta,13.531666666666666,1.657192141460061,2.7283333333333335,4.4525,1.705,0.8645665807019225,0.698937728937729
JLR-4D adaptado,Equipo junior,Carga baja,11.341666666666667,1.3221399070573998,1.2266666666666666,1.9766666666666666,0.9116666666666666,0.9312595338123917,0.699084249084249
JLR-4D adaptado,Equipo junior,Carga media,12.355,1.4733580646453686,1.8525,2.975,1.2016666666666667,0.9004890212695184,0.6982623626373626
JLR-4D adaptado,Equipo mixto,Alta dependencia,15.589166666666667,1.9575263037603914,4.626666666666667,7.1725,2.9125,0.8439916781406993,0.7748214285714287
JLR-4D adaptado,Equipo mixto,Carga alta,18.015,1.9385320706204514,3.2741666666666664,5.131666666666667,2.1008333333333336,0.8798370376351301,0.7751554232804233
JLR-4D adaptado,Equipo mixto,Carga baja,15.123333333333333,1.63411979726561,1.535,2.3983333333333334,1.0266666666666666,0.9378831526028737,0.7735218253968253
JLR-4D adaptado,Equipo mixto,Carga media,16.635,1.7830940862539193,2.0925,3.1775,1.425,0.9214714760482794,0.7764814814814816
JLR-4D adaptado,Equipo senior,Alta dependencia,19.379166666666666,1.9690006200499346,4.93,7.473333333333334,3.0816666666666666,0.8678732686616113,0.841106719367589
JLR-4D adaptado,Equipo senior,Carga alta,22.255,2.10562810694829,3.3433333333333333,5.0475,2.1825,0.9039399513465156,0.8422118833260138
JLR-4D adaptado,Equipo senior,Carga baja,17.969166666666666,1.7050822248159683,1.5933333333333333,2.368333333333333,1.1133333333333333,0.9519282898429668,0.8365505599472991
JLR-4D adaptado,Equipo senior,Carga media,20.215,1.819303865620827,2.195,3.37,1.4775,0.9324566253344075,0.8399741070121506
JLR-4D sin adaptación,Equipo distribuido,Alta dependencia,9.064166666666667,1.690886913531135,8.823333333333334,21.475,2.9908333333333332,0.699737496170183,0.6768576388888888
JLR-4D sin adaptación,Equipo distribuido,Carga alta,11.546666666666667,1.6818182569558688,5.336666666666667,12.906666666666666,1.9791666666666667,0.7615869838217897,0.675625
JLR-4D sin adaptación,Equipo distribuido,Carga baja,9.818333333333333,1.4423583304840792,2.203333333333333,5.458333333333333,1.0616666666666668,0.8785252788279297,0.6777604166666666
JLR-4D sin adaptación,Equipo distribuido,Carga media,10.5775,1.5570315901775005,3.3183333333333334,7.990833333333334,1.4025,0.8356071050913093,0.6781770833333334
JLR-4D sin adaptación,Equipo junior,Alta dependencia,8.69,1.8659586011621585,7.468333333333334,18.288333333333334,3.0966666666666667,0.7282201002299624,0.7866145833333333
JLR-4D sin adaptación,Equipo junior,Carga alta,10.973333333333333,2.0983226683645926,4.4525,11.040833333333333,2.1191666666666666,0.7851433692849662,0.7797395833333334
JLR-4D sin adaptación,Equipo junior,Carga baja,9.485,1.5833079464771878,1.9775,4.934166666666667,1.035,0.8888255944328423,0.786892361111111
JLR-4D sin adaptación,Equipo junior,Carga media,10.3725,1.8183781691308456,2.745,6.740833333333334,1.4783333333333333,0.8517566817353621,0.7884027777777777
JLR-4D sin adaptación,Equipo mixto,Alta dependencia,11.355,2.185472162671378,7.256666666666667,17.38083333333333,3.2691666666666666,0.7604448658779605,0.8529253472222222
JLR-4D sin adaptación,Equipo mixto,Carga alta,14.009166666666667,2.2664281485815496,4.491666666666666,10.550833333333333,2.26,0.8200252423650223,0.8601041666666667
JLR-4D sin adaptación,Equipo mixto,Carga baja,11.805833333333334,1.9073098414385294,2.0591666666666666,4.939166666666667,1.1358333333333333,0.9073562942104415,0.8558072916666667
JLR-4D sin adaptación,Equipo mixto,Carga media,12.87,2.031388387856589,2.9158333333333335,7.043333333333333,1.5566666666666666,0.8743292120193081,0.8554947916666666
JLR-4D sin adaptación,Equipo senior,Alta dependencia,14.221666666666666,2.0990956126106526,7.1225,16.323333333333334,3.4141666666666666,0.7945725275554552,0.8469097222222222
JLR-4D sin adaptación,Equipo senior,Carga alta,16.9175,2.1980415310324455,4.5441666666666665,10.388333333333334,2.37,0.8470663530190162,0.8506024305555556
JLR-4D sin adaptación,Equipo senior,Carga baja,14.228333333333333,1.8481640387559433,2.1108333333333333,4.821666666666666,1.1525,0.921661697022158,0.8481440972222223
JLR-4D sin adaptación,Equipo senior,Carga media,15.611666666666666,1.983046717585256,3.1425,7.165,1.6433333333333333,0.8889188174038845,0.8500104166666667
Scrum 5 días,Equipo distribuido,Alta dependencia,16.489166666666666,1.819608506837121,4.980833333333333,7.355,2.816666666666667,0.8445008857385248,0.7685763888888889
Scrum 5 días,Equipo distribuido,Carga alta,18.801666666666666,1.930570677677148,3.2933333333333334,4.835,2.01,0.8879232360962432,0.7691805555555555
Scrum 5 días,Equipo distribuido,Carga baja,15.656666666666666,1.6776375090879458,1.6016666666666666,2.345833333333333,1.05,0.940814024516211,0.7656597222222222
Scrum 5 días,Equipo distribuido,Carga media,17.3375,1.7472276383889693,2.243333333333333,3.276666666666667,1.4091666666666667,0.9212203631173094,0.7669930555555555
Scrum 5 días,Equipo junior,Alta dependencia,15.781666666666666,2.2733904509214513,4.213333333333333,6.359166666666667,3.065,0.8516383608986615,0.9339999999999999
Scrum 5 días,Equipo junior,Carga alta,18.208333333333332,2.3818042282494534,2.8275,4.304166666666666,2.105,0.8948257991382575,0.9386666666666668
Scrum 5 días,Equipo junior,Carga baja,15.101666666666667,2.0334149115197526,1.3466666666666667,1.9425,1.0908333333333333,0.948293294544549,0.9364722222222223
Scrum 5 días,Equipo junior,Carga media,16.721666666666668,2.1740444521572035,1.9383333333333332,2.8966666666666665,1.4716666666666667,0.9261487425048206,0.9417777777777778
Scrum 5 días,Equipo mixto,Alta dependencia,19.6875,2.213351799531743,4.568333333333333,6.515,3.26,0.8777329497440653,0.9637708333333334
Scrum 5 días,Equipo mixto,Carga alta,22.708333333333332,2.3358390374544884,3.1325,4.4075,2.25,0.9148890563223174,0.9663541666666666
Scrum 5 días,Equipo mixto,Carga baja,18.270833333333332,1.9452427303438293,1.4958333333333333,2.08,1.0891666666666666,0.9566659096634156,0.9587083333333334
Scrum 5 días,Equipo mixto,Carga media,20.4625,2.1569586943211276,2.0908333333333333,2.9458333333333333,1.5791666666666666,0.9402280912509499,0.9633402777777779
Scrum 5 días,Equipo senior,Alta dependencia,23.0425,2.182428978654838,4.565,6.161666666666667,3.2266666666666666,0.9021504898004941,0.9683916666666667
Scrum 5 días,Equipo senior,Carga alta,26.9975,2.341024151605161,3.1108333333333333,4.255,2.2558333333333334,0.9296783131359606,0.9715499999999999
Scrum 5 días,Equipo senior,Carga baja,21.174166666666668,1.92360326301539,1.4841666666666666,2.066666666666667,1.1283333333333334,0.9653894175981605,0.9659500000000001
Scrum 5 días,Equipo senior,Carga media,23.784166666666668,2.1208483295416634,2.02,2.7241666666666666,1.5658333333333334,0.955014416338054,0.9701958333333333
